EMPLID;CATALOG_NBR;STRM;SESSION_CODE;CLASS_SECTION;UNITS_MINIMUM;ACAD_ORG;ROLE;STRM_ID
00005179;161296;2101;1;X24;1;MQG;Enseignant;21011
00005179;161296;2101;1;Y25;1;MQG;Enseignant;21011
00005179;161296;2101;1;Z26;1;MQG;Enseignant;21011
11101657;161296;2093;1;L12;1;MQG;Enseignant;20931
11121284;392506;2101;1;DF1;3;SC.COMPT.;Coordonnateur;21011
00005179;161296;2093;1;DF1;1;MQG;Enseignant;20931
00005179;161296;2093;1;T30;1;MQG;Enseignant;20931
11105349;161296;2093;1;T31;1;MQG;Enseignant;20931
00007132;230897;2093;1;B01;3;GRH;Coordonnateur;20931
00007132;230897;2101;1;A01;3;GRH;Coordonnateur;21011
00007132;230897;2101;1;B01;3;GRH;Coordonnateur;21011
00007132;230897;2093;1;A01;3;GRH;Coordonnateur;20931
00007132;230897;2101;1;B01;3;GRH;Enseignant;21011
00007132;230897;2093;1;B01;3;GRH;Enseignant;20931
00007132;230897;2093;1;A01;3;GRH;Enseignant;20931
00007132;230897;2101;1;A01;3;GRH;Enseignant;21011
84111344;161296;2093;1;A01;1;MQG;Enseignant;20931
11064593;161296;2093;1;B02;1;MQG;Enseignant;20931
11101657;161296;2093;1;C03;1;MQG;Enseignant;20931
00005179;161296;2093;1;D04;1;MQG;Enseignant;20931
84111344;161296;2093;1;E05;1;MQG;Enseignant;20931
11105349;161296;2093;1;F06;1;MQG;Enseignant;20931
00005179;161296;2093;1;G07;1;MQG;Enseignant;20931
84111344;161296;2093;1;H08;1;MQG;Enseignant;20931
11101657;161296;2093;1;I09;1;MQG;Enseignant;20931
11013153;161296;2093;1;J10;1;MQG;Enseignant;20931
11064593;161296;2093;1;K11;1;MQG;Enseignant;20931
11013153;161296;2093;1;M13;1;MQG;Enseignant;20931
11105349;161296;2093;1;N14;1;MQG;Enseignant;20931
00007894;2061397;2093;1;S02;1;MQG;Enseignant;20931
00007894;2061397;2093;1;S01;1;MQG;Enseignant;20931
00007894;2061397;2101;1;S01;1;MQG;Enseignant;21011
00009957;2061397;2093;1;S02;1;MQG;Coordonnateur;20931
00009957;2061397;2093;1;DF1;1;MQG;Coordonnateur;20931
00009957;2061397;2093;1;S01;1;MQG;Coordonnateur;20931
00009957;2061397;2101;1;S01;1;MQG;Coordonnateur;21011
00002460;414088;2093;1;J01;3;MARKETING;Enseignant;20931
98331638;414088;2101;1;DF1;3;MARKETING;Enseignant;21011
98331638;414088;2101;1;S01;3;MARKETING;Enseignant;21011
00002460;414088;2093;1;J01;3;MARKETING;Coordonnateur;20931
98331638;414088;2101;1;DF1;3;MARKETING;Coordonnateur;21011
98331638;414088;2101;1;S01;3;MARKETING;Coordonnateur;21011
00007894;2061297;2101;1;S01;1;MQG;Enseignant;21011
00007894;2061397;2101;1;S01;1;MQG;Enseignant;21011
00007894;2061297;2101;1;DF1;1;MQG;Enseignant;21011
00009957;2061297;2093;1;S01;1;MQG;Coordonnateur;20931
00009957;2061297;2093;1;S02;1;MQG;Coordonnateur;20931
00009957;2061297;2101;1;S01;1;MQG;Coordonnateur;21011
00007894;2061297;2101;1;DF1;1;MQG;Coordonnateur;21011
00009957;2061397;2093;1;S02;1;MQG;Coordonnateur;20931
00009957;2061397;2093;1;DF1;1;MQG;Coordonnateur;20931
00009957;2061397;2093;1;S01;1;MQG;Coordonnateur;20931
00009957;2061397;2101;1;S01;1;MQG;Coordonnateur;21011
00007894;2061297;2093;1;S01;1;MQG;Enseignant;20931
00007894;2061397;2093;1;S02;1;MQG;Enseignant;20931
11075974;210797;2093;1;A01;3;MARKETING;Enseignant;20931
98331638;210797;2093;1;A02;3;MARKETING;Enseignant;20931
11029997;210800;2093;1;A01;3;MARKETING;Enseignant;20931
11000604;211597;2093;1;A01;3;MARKETING;Enseignant;20931
11051865;211597;2093;1;B01;3;MARKETING;Enseignant;20931
