CATALOG_NBR;STRM;SESSION_CODE;CLASS_SECTION;SEQ;CLASS_EXAM_TYPE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;FACILITY_ID;DESCR;STRM_ID
    ANGL-H;2101;1;X09;      4;TEST;2010-01-16 09:00;2010-01-16 11:30;TALG;FERMEE 4;21011
    ANGL-H;2101;1;X24;      1; ;2010-01-16 09:00;2010-01-16 11:30; ; ;21011
    ANGL-H;2101;1;X24;      1;TEST;2010-01-16 09:00;2010-01-16 11:30;BSCO;A à HEBE;21011
    ANGL-H;2101;1;X24;      2;TEST;2010-01-16 09:00;2010-01-16 11:30;MHUS;HEBF à ROTH;21011
    ANGL-H;2101;1;X24;      3;TEST;2010-01-16 09:00;2010-01-16 11:30;DBEA;ROTI à Z;21011
    ANGL-H;2101;1;Y01;      1; ;2010-03-14 09:00;2010-03-14 11:30; ; ;21011
    ANGL-H;2101;1;Y01;      1;TEST;2010-03-14 09:00;2010-03-14 11:30;BDCA;TOUS;21011
    ANGL-H;2101;1;Y09;      1; ;2010-03-14 09:00;2010-03-14 11:30; ; ;21011
    ANGL-H;2101;1;Y09;      1;TEST;2010-03-14 09:00;2010-03-14 11:30;PGAM;FERMEE 1;21011
    ANGL-H;2101;1;Y09;      2;TEST;2010-03-14 09:00;2010-03-14 11:30;EYOU;FERMEE 2;21011
    ANGL-H;2101;1;Y09;      3;TEST;2010-03-14 09:00;2010-03-14 11:30;CIBC;FERMEE 3;21011
    ANGL-H;2101;1;Y09;      4;TEST;2010-03-14 09:00;2010-03-14 11:30;TALG;FERMEE 4;21011
    ANGL-H;2101;1;Y25;      1; ;2010-01-16 09:00;2010-01-16 11:30; ; ;21011
    ANGL-H;2101;1;Y25;      1;TEST;2010-01-16 09:00;2010-01-16 11:30;METR;A à LAJO;21011
    ANGL-H;2101;1;Y25;      2;TEST;2010-01-16 09:00;2010-01-16 11:30;KPMG;LAJP à Z;21011
    ANGL-H;2101;1;Z26;      1; ;2010-01-16 09:00;2010-01-16 11:30; ; ;21011
    ANGL-H;2101;1;Z26;      1;TEST;2010-01-16 09:00;2010-01-16 11:30;QUEB;A à LECL;21011
    ANGL-H;2101;1;Z26;      2;TEST;2010-01-16 09:00;2010-01-16 11:30;TDMM;LECM à Z;21011
    ANGL-H;2102;1;X01;      1;TEST;2010-05-01 09:00;2010-05-01 11:30; ; ;21021
    ANGL-H;2102;1;X09;      1;TEST;2010-05-01 09:00;2010-05-01 11:30; ; ;21021
    ANGL-O;2093;1;A01;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;A01;      1;TEST;2009-09-17 15:30;2009-09-17 17:30;VHOU;TOUS;20931
    ANGL-O;2093;1;B02;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;B02;      1;TEST;2009-09-24 15:30;2009-09-24 17:30;VHOU;TOUS;20931
    ANGL-O;2093;1;C03;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;C03;      1;TEST;2009-10-01 15:30;2009-10-01 17:30;VHOU;TOUS;20931
    ANGL-O;2093;1;D04;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;D04;      1;TEST;2009-09-15 13:00;2009-09-15 15:00;VHOU;TOUS;20931
    ANGL-O;2093;1;E05;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;E05;      1;TEST;2009-09-22 13:00;2009-09-22 15:00;METR;TOUS;20931
    ANGL-O;2093;1;F06;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;F06;      1;TEST;2009-09-29 13:00;2009-09-29 15:00;METR;TOUS;20931
    ANGL-O;2093;1;FR1;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;FR1;      1;TEST;2009-09-19 12:00;2009-09-19 15:00;LLAB;TOUS;20931
    ANGL-O;2093;1;G07;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;G07;      1;TEST;2009-09-14 13:00;2009-09-14 15:00;VHOU;TOUS;20931
    ANGL-O;2093;1;H08;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;H08;      1;TEST;2009-09-21 13:00;2009-09-21 15:00;TRAN;TOUS;20931
    ANGL-O;2093;1;I09;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;I09;      1;TEST;2009-09-28 13:00;2009-09-28 15:00;TRAN;TOUS;20931
    ANGL-O;2093;1;J10;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;J10;      1;TEST;2009-10-05 13:00;2009-10-05 15:00;TRAN;TOUS;20931
    ANGL-O;2093;1;K11;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;K11;      1;TEST;2009-09-14 15:30;2009-09-14 17:30;VHOU;TOUS;20931
    ANGL-O;2093;1;L12;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;L12;      1;TEST;2009-09-21 15:30;2009-09-21 17:30;MHUS;TOUS;20931
    ANGL-O;2093;1;M13;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;M13;      1;TEST;2009-09-28 15:30;2009-09-28 17:30;MHUS;TOUS;20931
    ANGL-O;2093;1;N14;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;N14;      1;TEST;2009-10-05 15:30;2009-10-05 17:30;MHUS;TOUS;20931
    ANGL-O;2093;1;X11;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;X11;      1;TEST;2009-09-17 17:30;2009-09-17 18:30;VHOU;TOUS;20931
    ANGL-O;2093;1;X12;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;X12;      1;TEST;2009-09-17 18:45;2009-09-17 19:45;LLAB;TOUS;20931
    ANGL-O;2093;1;X21;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;X21;      1;TEST;2009-09-22 16:30;2009-09-22 17:30;LLAB;TOUS;20931
    ANGL-O;2093;1;X22;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;X22;      1;TEST;2009-09-22 17:30;2009-09-22 18:30;LLAB;TOUS;20931
    ANGL-O;2093;1;X31;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;X31;      1;TEST;2009-09-28 17:30;2009-09-28 18:30;SLIF;TOUS;20931
    ANGL-O;2093;1;X32;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-O;2093;1;X32;      1;TEST;2009-09-28 18:45;2009-09-28 19:45;SLIF;TOUS;20931
    ANGL-O;2093;1;Y11;      1; ;2009-11-18 15:30;2009-11-18 16:30; ; ;20931
    ANGL-O;2093;1;Y11;      1;TEST;2009-11-18 15:30;2009-11-18 16:30;3031;TOUS;20931
    ANGL-O;2093;1;Y12;      1; ;2009-11-18 16:30;2009-11-18 17:30; ; ;20931
    ANGL-O;2093;1;Y12;      1;TEST;2009-11-18 16:30;2009-11-18 17:30;3031;TOUS;20931
    ANGL-O;2093;1;Y13;      1; ;2009-11-18 17:30;2009-11-18 18:30; ; ;20931
    ANGL-O;2093;1;Y13;      1;TEST;2009-11-18 17:30;2009-11-18 18:30;3031;TOUS;20931
    ANGL-O;2093;1;Y21;      1; ;2009-11-20 15:30;2009-11-20 16:30; ; ;20931
    ANGL-O;2093;1;Y21;      1;TEST;2009-11-20 15:30;2009-11-20 16:30;SCPO;TOUS;20931
    ANGL-O;2093;1;Y22;      1; ;2009-11-20 16:30;2009-11-20 17:30; ; ;20931
    ANGL-O;2093;1;Y22;      1;TEST;2009-11-20 16:30;2009-11-20 17:30;SCPO;TOUS;20931
    ANGL-O;2093;1;Y23;      1; ;2009-11-20 17:30;2009-11-20 18:30; ; ;20931
    ANGL-O;2093;1;Y23;      1;TEST;2009-11-20 17:30;2009-11-20 18:30;SCPO;TOUS;20931
    ANGL-O;2093;1;Y24;      1; ;2009-11-20 18:45;2009-11-20 19:45; ; ;20931
    ANGL-O;2093;1;Y24;      1;TEST;2009-11-20 18:45;2009-11-20 19:45;SCPO;TOUS;20931
    ANGL-O;2101;1;FR5;      1; ;2010-01-23 12:00;2010-01-23 15:00; ; ;21011
    ANGL-O;2101;1;FR5;      1;TEST;2010-01-23 12:00;2010-01-23 15:00;LLAB;TOUS;21011
    ANGL-O;2101;1;FR6;      1; ;2010-03-20 12:00;2010-03-20 15:00; ; ;21011
    ANGL-O;2101;1;FR6;      1;TEST;2010-03-20 12:00;2010-03-20 15:00;LLAB;TOUS;21011
    ANGL-O;2101;1;FR7;      1; ;2010-03-14 13:00;2010-03-14 15:30; ; ;21011
    ANGL-O;2101;1;FR7;      1;TEST;2010-03-14 13:00;2010-03-14 15:30;LLAB;TOUS;21011
    ANGL-O;2101;1;GL1;      1; ;2010-03-13 12:00;2010-03-13 15:00; ; ;21011
    ANGL-O;2101;1;GL1;      1;TEST;2010-03-13 12:00;2010-03-13 15:00;TCOR;TOUS;21011
    ANGL-O;2101;1;TR1;      1; ;2010-02-13 16:30;2010-02-13 18:00; ; ;21011
    ANGL-O;2101;1;TR1;      1;TEST;2010-02-13 16:30;2010-02-13 18:00;LLAB;TOUS;21011
    ANGL-O;2101;1;TR2;      1; ;2010-03-13 16:30;2010-03-13 18:00; ; ;21011
    ANGL-O;2101;1;TR2;      1;TEST;2010-03-13 16:30;2010-03-13 18:00;LLAB;TOUS;21011
    ANGL-O;2101;1;X11;      1; ;2010-01-22 15:30;2010-01-22 16:30; ; ;21011
    ANGL-O;2101;1;X11;      1;TEST;2010-01-22 15:30;2010-01-22 16:30;LLAB;TOUS;21011
    ANGL-O;2101;1;X12;      1; ;2010-01-22 16:30;2010-01-22 17:30; ; ;21011
    ANGL-O;2101;1;X12;      1;TEST;2010-01-22 16:30;2010-01-22 17:30;LLAB;TOUS;21011
    ANGL-O;2101;1;X13;      1; ;2010-01-22 17:30;2010-01-22 18:30; ; ;21011
    ANGL-O;2101;1;X13;      1;TEST;2010-01-22 17:30;2010-01-22 18:30;LLAB;TOUS;21011
    ANGL-O;2101;1;X21;      1; ;2010-01-28 16:00;2010-01-28 17:00; ; ;21011
    ANGL-O;2101;1;X21;      1;TEST;2010-01-28 16:00;2010-01-28 17:00;SCPO;TOUS;21011
    ANGL-O;2101;1;X22;      1; ;2010-01-28 17:00;2010-01-28 18:00; ; ;21011
    ANGL-O;2101;1;X22;      1;TEST;2010-01-28 17:00;2010-01-28 18:00;SCPO;TOUS;21011
    ANGL-O;2101;1;X24;      1; ;2010-01-21 15:30;2010-01-21 17:30; ; ;21011
    ANGL-O;2101;1;X24;      1;TEST;2010-01-21 15:30;2010-01-21 17:30;SCPO;TOUS;21011
    ANGL-O;2101;1;Y11;      1; ;2010-03-26 15:30;2010-03-26 16:30; ; ;21011
    ANGL-O;2101;1;Y11;      1;TEST;2010-03-26 15:30;2010-03-26 16:30;LLAB;TOUS;21011
    ANGL-O;2101;1;Y12;      1; ;2010-03-26 16:30;2010-03-26 17:30; ; ;21011
    ANGL-O;2101;1;Y12;      1;TEST;2010-03-26 16:30;2010-03-26 17:30;LLAB;TOUS;21011
    ANGL-O;2101;1;Y13;      1; ;2010-03-26 17:30;2010-03-26 18:30; ; ;21011
    ANGL-O;2101;1;Y13;      1;TEST;2010-03-26 17:30;2010-03-26 18:30;LLAB;TOUS;21011
    ANGL-O;2101;1;Y21;      1; ;2010-03-30 16:00;2010-03-30 17:00; ; ;21011
    ANGL-O;2101;1;Y21;      1;TEST;2010-03-30 16:00;2010-03-30 17:00;TCOR;TOUS;21011
    ANGL-O;2101;1;Y22;      1; ;2010-03-30 17:00;2010-03-30 18:00; ; ;21011
    ANGL-O;2101;1;Y22;      1;TEST;2010-03-30 17:00;2010-03-30 18:00;TCOR;TOUS;21011
    ANGL-O;2101;1;Y23;      1; ;2010-03-30 18:00;2010-03-30 19:00; ; ;21011
    ANGL-O;2101;1;Y23;      1;TEST;2010-03-30 18:00;2010-03-30 19:00;TCOR;TOUS;21011
    ANGL-O;2101;1;Y24;      1; ;2010-03-30 19:00;2010-03-30 20:00; ; ;21011
    ANGL-O;2101;1;Y24;      1;TEST;2010-03-30 19:00;2010-03-30 20:00;TCOR;TOUS;21011
    ANGL-O;2101;1;Y25;      1; ;2010-01-25 13:00;2010-01-25 15:00; ; ;21011
    ANGL-O;2101;1;Y25;      1;TEST;2010-01-25 13:00;2010-01-25 15:00;QUEB;TOUS;21011
    ANGL-O;2101;1;Z26;      1; ;2010-01-25 15:30;2010-01-25 17:30; ; ;21011
    ANGL-O;2101;1;Z26;      1;TEST;2010-01-25 15:30;2010-01-25 17:30;QUEB;TOUS;21011
    ANGL-O;2102;1;X11;      1;TEST;2010-05-12 16:00;2010-05-12 17:00; ; ;21021
    ANGL-O;2102;1;X12;      1;TEST;2010-05-12 17:00;2010-05-12 18:00; ; ;21021
    ANGL-O;2102;1;X13;      1;TEST;2010-05-12 18:00;2010-05-12 19:00; ; ;21021
    ANGL-O;2102;1;X21;      1;TEST;2010-05-13 16:00;2010-05-13 17:00; ; ;21021
    ANGL-O;2102;1;X22;      1;TEST;2010-05-13 17:00;2010-05-13 18:00; ; ;21021
    ANGL-T;2093;1;A11;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A11;      1;TEST;2009-06-10 12:30;2009-06-10 13:30;LLAB;TOUS;20931
    ANGL-T;2093;1;A12;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A12;      1;TEST;2009-06-10 14:00;2009-06-10 15:00;LLAB;TOUS;20931
    ANGL-T;2093;1;A21;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A21;      1;TEST;2009-06-11 15:30;2009-06-11 16:30;LLAB;TOUS;20931
    ANGL-T;2093;1;A22;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A22;      1;TEST;2009-06-11 17:00;2009-06-11 18:00;LLAB;TOUS;20931
    ANGL-T;2093;1;A31;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A31;      1;TEST;2009-06-15 16:00;2009-06-15 17:00;LLAB;TOUS;20931
    ANGL-T;2093;1;A32;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A32;      1;TEST;2009-06-15 17:30;2009-06-15 18:30;LLAB;TOUS;20931
    ANGL-T;2093;1;A41;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A41;      1;TEST;2009-08-25 14:00;2009-08-25 15:00;LLAB;TOUS;20931
    ANGL-T;2093;1;A42;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A42;      1;TEST;2009-08-25 15:30;2009-08-25 16:30;LLAB;TOUS;20931
    ANGL-T;2093;1;A43;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;A43;      1;TEST;2009-08-25 17:00;2009-08-25 18:00;LLAB;TOUS;20931
    ANGL-T;2093;1;PA1;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;PA1;      1;TEST;2009-08-25 09:00;2009-08-25 10:00;LLAB;TOUS;20931
    ANGL-T;2093;1;PA2;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;PA2;      1;TEST;2009-08-25 10:00;2009-08-25 11:00;LLAB;TOUS;20931
    ANGL-T;2093;1;PB1;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;PB1;      1;TEST;2009-08-25 11:00;2009-08-25 12:00;LLAB;TOUS;20931
    ANGL-T;2093;1;PB2;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;PB2;      1;TEST;2009-08-25 12:00;2009-08-25 13:00;LLAB;TOUS;20931
    ANGL-T;2093;1;PC1;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;PC1;      1;TEST;2009-08-26 09:00;2009-08-26 10:00;LLAB;TOUS;20931
    ANGL-T;2093;1;PC2;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-T;2093;1;PC2;      1;TEST;2009-08-26 10:00;2009-08-26 11:00;LLAB;TOUS;20931
    ANGL-T;2101;1;A11;      1; ;2009-11-04 12:30;2009-11-04 13:30; ; ;21011
    ANGL-T;2101;1;A11;      1;TEST;2009-11-04 12:30;2009-11-04 13:30;LLAB;TOUS;21011
    ANGL-T;2101;1;A12;      1; ;2009-11-04 14:00;2009-11-04 15:00; ; ;21011
    ANGL-T;2101;1;A12;      1;TEST;2009-11-04 14:00;2009-11-04 15:00;LLAB;TOUS;21011
    ANGL-T;2101;1;A21;      1; ;2009-11-05 16:00;2009-11-05 17:00; ; ;21011
    ANGL-T;2101;1;A21;      1;TEST;2009-11-05 16:00;2009-11-05 17:00;SCPO;TOUS;21011
    ANGL-T;2101;1;A22;      1; ;2009-11-05 17:30;2009-11-05 18:30; ; ;21011
    ANGL-T;2101;1;A22;      1;TEST;2009-11-05 17:30;2009-11-05 18:30;SCPO;TOUS;21011
    ANGL-T;2101;1;A31;      1; ;2009-12-02 13:00;2009-12-02 14:00; ; ;21011
    ANGL-T;2101;1;A31;      1;TEST;2009-12-02 13:00;2009-12-02 14:00;LLAB;TOUS;21011
    ANGL-T;2101;1;A32;      1; ;2009-12-02 17:30;2009-12-02 18:30; ; ;21011
    ANGL-T;2101;1;A32;      1;TEST;2009-12-02 17:30;2009-12-02 18:30;SSAU;TOUS;21011
    ANGL-T;2102;1;A11;      1;TEST;2010-03-18 12:30;2010-03-18 13:30; ; ;21021
    ANGL-T;2102;1;A12;      1;TEST;2010-03-18 14:00;2010-03-18 15:00; ; ;21021
