EMPLID;CATALOG_NBR;STRM;SESSION_CODE;CLASS_SECTION;STATUS;STRM_ID
11133360;1016PREPA;2093;1;P40;Actif;20931
11125863;1016PREPA;2093;1;P40;Actif;20931
11125828;1016PREPA;2093;1;P40;Actif;20931
11125832;1016PREPA;2093;1;P40;Actif;20931
11125790;1016PREPA;2093;1;P40;Actif;20931
11121773;1037PREPA;2093;1;P42;Actif;20931
11124161;1037PREPA;2093;1;P42;Actif;20931
11125789;1037PREPA;2093;1;P42;Actif;20931
11125798;1037PREPA;2093;1;P42;Actif;20931
11125799;1037PREPA;2093;1;P42;Actif;20931
11125835;1037PREPA;2093;1;P42;Actif;20931
11125991;1037PREPA;2093;1;P42;Actif;20931
11126129;1037PREPA;2093;1;P42;Actif;20931
11126152;1037PREPA;2093;1;P42;Actif;20931
11126179;1037PREPA;2093;1;P42;Actif;20931
11126248;1037PREPA;2093;1;P42;Actif;20931
11126372;1037PREPA;2093;1;P42;Actif;20931
11126633;1037PREPA;2093;1;P42;Actif;20931
11126798;1037PREPA;2093;1;P42;Actif;20931
11126913;1037PREPA;2093;1;P42;Actif;20931
11126990;1037PREPA;2093;1;P42;Actif;20931
11126993;1037PREPA;2093;1;P42;Actif;20931
11127005;1037PREPA;2093;1;P42;Actif;20931
11127008;1037PREPA;2093;1;P42;Actif;20931
11127009;1037PREPA;2093;1;P42;Actif;20931
11127012;1037PREPA;2093;1;P42;Actif;20931
11127166;1037PREPA;2093;1;P42;Actif;20931
11127167;1037PREPA;2093;1;P42;Actif;20931
11127227;1037PREPA;2093;1;P42;Actif;20931
11127460;1037PREPA;2093;1;P42;Actif;20931
11127546;1037PREPA;2093;1;P42;Actif;20931
11127557;1037PREPA;2093;1;P42;Actif;20931
11127578;1037PREPA;2093;1;P42;Actif;20931
11127582;1037PREPA;2093;1;P42;Actif;20931
11127732;1037PREPA;2093;1;P42;Actif;20931
11127758;1037PREPA;2093;1;P42;Actif;20931
11127789;1037PREPA;2093;1;P42;Actif;20931
11127819;1037PREPA;2093;1;P42;Actif;20931
11127900;1037PREPA;2093;1;P42;Actif;20931
11128007;1037PREPA;2093;1;P42;Actif;20931
11128015;1037PREPA;2093;1;P42;Actif;20931
11128038;1037PREPA;2093;1;P42;Actif;20931
11128042;1037PREPA;2093;1;P42;Actif;20931
11116024;3517304;2093;1;H01;Actif;20931
11128057;1037PREPA;2093;1;P43;Actif;20931
11128072;1037PREPA;2093;1;P43;Actif;20931
11128118;1037PREPA;2093;1;P43;Actif;20931
11128123;1037PREPA;2093;1;P43;Actif;20931
11128148;1037PREPA;2093;1;P43;Actif;20931
11128313;1037PREPA;2093;1;P43;Actif;20931
11128378;1037PREPA;2093;1;P43;Actif;20931
11128384;1037PREPA;2093;1;P43;Actif;20931
11128428;1037PREPA;2093;1;P43;Actif;20931
11128443;1037PREPA;2093;1;P43;Actif;20931
11128450;1037PREPA;2093;1;P43;Actif;20931
11128451;1037PREPA;2093;1;P43;Actif;20931
11128459;1037PREPA;2093;1;P43;Actif;20931
11128536;1037PREPA;2093;1;P43;Actif;20931
11128540;1037PREPA;2093;1;P43;Actif;20931
11128603;1037PREPA;2093;1;P43;Actif;20931
11128610;1037PREPA;2093;1;P43;Actif;20931
11128613;1037PREPA;2093;1;P43;Actif;20931
11128615;1037PREPA;2093;1;P43;Actif;20931
11128618;1037PREPA;2093;1;P43;Actif;20931
11128620;1037PREPA;2093;1;P43;Actif;20931
11128641;1037PREPA;2093;1;P43;Actif;20931
11128645;1037PREPA;2093;1;P43;Actif;20931
11128650;1037PREPA;2093;1;P43;Actif;20931
11128723;1037PREPA;2093;1;P43;Actif;20931
11128890;1037PREPA;2093;1;P43;Actif;20931
11128903;1037PREPA;2093;1;P43;Actif;20931
11128911;1037PREPA;2093;1;P43;Actif;20931
11128939;1037PREPA;2093;1;P43;Actif;20931
11128971;1037PREPA;2093;1;P43;Actif;20931
11128986;1037PREPA;2093;1;P43;Actif;20931
11129008;1037PREPA;2093;1;P43;Actif;20931
11129062;1037PREPA;2093;1;P43;Actif;20931
11129096;1037PREPA;2093;1;P43;Actif;20931
11129155;1037PREPA;2093;1;P43;Actif;20931
11129210;1037PREPA;2093;1;P43;Actif;20931
11129367;1037PREPA;2093;1;P43;Actif;20931
11129400;1037PREPA;2093;1;P43;Actif;20931
11129660;1037PREPA;2093;1;P43;Actif;20931
11133360;1037PREPA;2093;1;P43;Actif;20931
11125793;1004PREPA;2093;1;P40;Actif;20931
11116381;1004PREPA;2093;1;P40;Actif;20931
11125790;1004PREPA;2093;1;P40;Actif;20931
11126088;1004PREPA;2093;1;P40;Actif;20931
11126094;1004PREPA;2093;1;P40;Actif;20931
11126150;1004PREPA;2093;1;P40;Actif;20931
11126182;1004PREPA;2093;1;P40;Actif;20931
11126188;1004PREPA;2093;1;P40;Actif;20931
11126236;1004PREPA;2093;1;P40;Actif;20931
11126252;1004PREPA;2093;1;P40;Actif;20931
11126375;1004PREPA;2093;1;P40;Actif;20931
11126513;1004PREPA;2093;1;P40;Actif;20931
11126594;1004PREPA;2093;1;P40;Actif;20931
11126599;1004PREPA;2093;1;P40;Actif;20931
11126637;1004PREPA;2093;1;P40;Actif;20931
11126656;1004PREPA;2093;1;P40;Actif;20931
11126664;1004PREPA;2093;1;P40;Actif;20931
11126879;1004PREPA;2093;1;P40;Actif;20931
11126902;1004PREPA;2093;1;P40;Actif;20931
11126950;1004PREPA;2093;1;P40;Actif;20931
11126994;1004PREPA;2093;1;P40;Actif;20931
11126999;1004PREPA;2093;1;P40;Actif;20931
11127010;1004PREPA;2093;1;P40;Actif;20931
11127168;1004PREPA;2093;1;P40;Actif;20931
11127222;1004PREPA;2093;1;P40;Actif;20931
11127331;1004PREPA;2093;1;P40;Actif;20931
11127373;1004PREPA;2093;1;P40;Actif;20931
11127382;1004PREPA;2093;1;P40;Actif;20931
11127496;1004PREPA;2093;1;P40;Actif;20931
11127504;1004PREPA;2093;1;P40;Actif;20931
11127586;1004PREPA;2093;1;P40;Actif;20931
11127587;1004PREPA;2093;1;P40;Actif;20931
11125801;1004PREPA;2093;1;P40;Actif;20931
11127596;1004PREPA;2093;1;P40;Actif;20931
11127665;1004PREPA;2093;1;P40;Actif;20931
11127734;1004PREPA;2093;1;P40;Actif;20931
11127735;1004PREPA;2093;1;P40;Actif;20931
11127896;1004PREPA;2093;1;P40;Actif;20931
11128016;1004PREPA;2093;1;P40;Actif;20931
11128018;1004PREPA;2093;1;P40;Actif;20931
11128041;1004PREPA;2093;1;P40;Actif;20931
11128057;1004PREPA;2093;1;P40;Actif;20931
11128072;1004PREPA;2093;1;P40;Actif;20931
11128118;1004PREPA;2093;1;P40;Actif;20931
11128123;1004PREPA;2093;1;P40;Actif;20931
11128313;1004PREPA;2093;1;P40;Actif;20931
11128384;1004PREPA;2093;1;P40;Actif;20931
11128536;1004PREPA;2093;1;P40;Actif;20931
11128618;1004PREPA;2093;1;P40;Actif;20931
11128911;1004PREPA;2093;1;P40;Actif;20931
11128971;1004PREPA;2093;1;P40;Actif;20931
11129062;1004PREPA;2093;1;P40;Actif;20931
11129096;1004PREPA;2093;1;P40;Actif;20931
11129367;1004PREPA;2093;1;P40;Actif;20931
11129400;1004PREPA;2093;1;P40;Actif;20931
11133360;1004PREPA;2093;1;P40;Actif;20931
11125863;1004PREPA;2093;1;P40;Actif;20931
11125828;1004PREPA;2093;1;P40;Actif;20931
11125832;1004PREPA;2093;1;P40;Actif;20931
11115256;1004PREPA;2093;1;P41;Actif;20931
11127801;1004PREPA;2093;1;P41;Actif;20931
11127814;1004PREPA;2093;1;P41;Actif;20931
11127957;1004PREPA;2093;1;P41;Actif;20931
11127968;1004PREPA;2093;1;P41;Actif;20931
11127983;1004PREPA;2093;1;P41;Actif;20931
11128011;1004PREPA;2093;1;P41;Actif;20931
11128024;1004PREPA;2093;1;P41;Actif;20931
11128028;1004PREPA;2093;1;P41;Actif;20931
11128047;1004PREPA;2093;1;P41;Actif;20931
11128109;1004PREPA;2093;1;P41;Actif;20931
11128373;1004PREPA;2093;1;P41;Actif;20931
11128428;1004PREPA;2093;1;P41;Actif;20931
11128443;1004PREPA;2093;1;P41;Actif;20931
11128459;1004PREPA;2093;1;P41;Actif;20931
11128610;1004PREPA;2093;1;P41;Actif;20931
11128615;1004PREPA;2093;1;P41;Actif;20931
11128620;1004PREPA;2093;1;P41;Actif;20931
11128650;1004PREPA;2093;1;P41;Actif;20931
11128890;1004PREPA;2093;1;P41;Actif;20931
11128903;1004PREPA;2093;1;P41;Actif;20931
11128939;1004PREPA;2093;1;P41;Actif;20931
11128986;1004PREPA;2093;1;P41;Actif;20931
11129660;1004PREPA;2093;1;P41;Actif;20931
11115642;1004PREPA;2093;1;P41;Actif;20931
11115778;1004PREPA;2093;1;P41;Actif;20931
11116794;1004PREPA;2093;1;P41;Actif;20931
11125803;1004PREPA;2093;1;P41;Actif;20931
11125910;1004PREPA;2093;1;P41;Actif;20931
11126186;1004PREPA;2093;1;P41;Actif;20931
11126246;1004PREPA;2093;1;P41;Actif;20931
11126281;1004PREPA;2093;1;P41;Actif;20931
11126292;1004PREPA;2093;1;P41;Actif;20931
11126399;1004PREPA;2093;1;P41;Actif;20931
11126466;1004PREPA;2093;1;P41;Actif;20931
11126555;1004PREPA;2093;1;P41;Actif;20931
11126561;1004PREPA;2093;1;P41;Actif;20931
11126577;1004PREPA;2093;1;P41;Actif;20931
11126597;1004PREPA;2093;1;P41;Actif;20931
11126974;1004PREPA;2093;1;P41;Actif;20931
11126987;1004PREPA;2093;1;P41;Actif;20931
11127002;1004PREPA;2093;1;P41;Actif;20931
11127004;1004PREPA;2093;1;P41;Actif;20931
11127102;1004PREPA;2093;1;P41;Actif;20931
11127217;1004PREPA;2093;1;P41;Actif;20931
11127310;1004PREPA;2093;1;P41;Actif;20931
11127375;1004PREPA;2093;1;P41;Actif;20931
11127377;1004PREPA;2093;1;P41;Actif;20931
11127499;1004PREPA;2093;1;P41;Actif;20931
11127577;1004PREPA;2093;1;P41;Actif;20931
11127595;1004PREPA;2093;1;P41;Actif;20931
11127608;1004PREPA;2093;1;P41;Actif;20931
11127624;1004PREPA;2093;1;P41;Actif;20931
11127627;1004PREPA;2093;1;P41;Actif;20931
11127686;1004PREPA;2093;1;P41;Actif;20931
11127728;1004PREPA;2093;1;P41;Actif;20931
11127730;1004PREPA;2093;1;P41;Actif;20931
11121773;1004PREPA;2093;1;P42;Actif;20931
11124161;1004PREPA;2093;1;P42;Actif;20931
11125789;1004PREPA;2093;1;P42;Actif;20931
11125798;1004PREPA;2093;1;P42;Actif;20931
11125799;1004PREPA;2093;1;P42;Actif;20931
11125835;1004PREPA;2093;1;P42;Actif;20931
11125991;1004PREPA;2093;1;P42;Actif;20931
11126129;1004PREPA;2093;1;P42;Actif;20931
11126152;1004PREPA;2093;1;P42;Actif;20931
11126179;1004PREPA;2093;1;P42;Actif;20931
11126248;1004PREPA;2093;1;P42;Actif;20931
11126372;1004PREPA;2093;1;P42;Actif;20931
11126633;1004PREPA;2093;1;P42;Actif;20931
11126798;1004PREPA;2093;1;P42;Actif;20931
11126913;1004PREPA;2093;1;P42;Actif;20931
11126990;1004PREPA;2093;1;P42;Actif;20931
11126993;1004PREPA;2093;1;P42;Actif;20931
11127005;1004PREPA;2093;1;P42;Actif;20931
11127008;1004PREPA;2093;1;P42;Actif;20931
11127009;1004PREPA;2093;1;P42;Actif;20931
11127012;1004PREPA;2093;1;P42;Actif;20931
11127166;1004PREPA;2093;1;P42;Actif;20931
11127167;1004PREPA;2093;1;P42;Actif;20931
11127227;1004PREPA;2093;1;P42;Actif;20931
11127460;1004PREPA;2093;1;P42;Actif;20931
11127546;1004PREPA;2093;1;P42;Actif;20931
11127557;1004PREPA;2093;1;P42;Actif;20931
11127578;1004PREPA;2093;1;P42;Actif;20931
11127582;1004PREPA;2093;1;P42;Actif;20931
11127732;1004PREPA;2093;1;P42;Actif;20931
11127758;1004PREPA;2093;1;P42;Actif;20931
11127789;1004PREPA;2093;1;P42;Actif;20931
11127819;1004PREPA;2093;1;P42;Actif;20931
11127900;1004PREPA;2093;1;P42;Actif;20931
11128007;1004PREPA;2093;1;P42;Actif;20931
11128015;1004PREPA;2093;1;P42;Actif;20931
11128038;1004PREPA;2093;1;P42;Actif;20931
11128042;1004PREPA;2093;1;P42;Actif;20931
11128148;1004PREPA;2093;1;P42;Actif;20931
11128378;1004PREPA;2093;1;P42;Actif;20931
11128450;1004PREPA;2093;1;P42;Actif;20931
11128451;1004PREPA;2093;1;P42;Actif;20931
11128540;1004PREPA;2093;1;P42;Actif;20931
11128603;1004PREPA;2093;1;P42;Actif;20931
11128613;1004PREPA;2093;1;P42;Actif;20931
11128641;1004PREPA;2093;1;P42;Actif;20931
11128645;1004PREPA;2093;1;P42;Actif;20931
11128723;1004PREPA;2093;1;P42;Actif;20931
11129008;1004PREPA;2093;1;P42;Actif;20931
11129155;1004PREPA;2093;1;P42;Actif;20931
11129210;1004PREPA;2093;1;P42;Actif;20931
11115256;1016PREPA;2093;1;P41;Actif;20931
11127801;1016PREPA;2093;1;P41;Actif;20931
11127814;1016PREPA;2093;1;P41;Actif;20931
11127957;1016PREPA;2093;1;P41;Actif;20931
11127968;1016PREPA;2093;1;P41;Actif;20931
11127983;1016PREPA;2093;1;P41;Actif;20931
11128011;1016PREPA;2093;1;P41;Actif;20931
11128024;1016PREPA;2093;1;P41;Actif;20931
11128028;1016PREPA;2093;1;P41;Actif;20931
11128047;1016PREPA;2093;1;P41;Actif;20931
11128109;1016PREPA;2093;1;P41;Actif;20931
11128373;1016PREPA;2093;1;P41;Actif;20931
11128428;1016PREPA;2093;1;P41;Actif;20931
11128443;1016PREPA;2093;1;P41;Actif;20931
11128459;1016PREPA;2093;1;P41;Actif;20931
11128610;1016PREPA;2093;1;P41;Actif;20931
11128615;1016PREPA;2093;1;P41;Actif;20931
11128620;1016PREPA;2093;1;P41;Actif;20931
11128650;1016PREPA;2093;1;P41;Actif;20931
11128890;1016PREPA;2093;1;P41;Actif;20931
11128903;1016PREPA;2093;1;P41;Actif;20931
11128939;1016PREPA;2093;1;P41;Actif;20931
11128986;1016PREPA;2093;1;P41;Actif;20931
11129660;1016PREPA;2093;1;P41;Actif;20931
11115642;1016PREPA;2093;1;P41;Actif;20931
11115778;1016PREPA;2093;1;P41;Actif;20931
11116794;1016PREPA;2093;1;P41;Actif;20931
11125803;1016PREPA;2093;1;P41;Actif;20931
11125910;1016PREPA;2093;1;P41;Actif;20931
11126186;1016PREPA;2093;1;P41;Actif;20931
11126246;1016PREPA;2093;1;P41;Actif;20931
11126281;1016PREPA;2093;1;P41;Actif;20931
11126292;1016PREPA;2093;1;P41;Actif;20931
11126399;1016PREPA;2093;1;P41;Actif;20931
11126466;1016PREPA;2093;1;P41;Actif;20931
11126555;1016PREPA;2093;1;P41;Actif;20931
11126561;1016PREPA;2093;1;P41;Actif;20931
11126577;1016PREPA;2093;1;P41;Actif;20931
11126597;1016PREPA;2093;1;P41;Actif;20931
11126974;1016PREPA;2093;1;P41;Actif;20931
11126987;1016PREPA;2093;1;P41;Actif;20931
11127002;1016PREPA;2093;1;P41;Actif;20931
11127004;1016PREPA;2093;1;P41;Actif;20931
11127102;1016PREPA;2093;1;P41;Actif;20931
11127217;1016PREPA;2093;1;P41;Actif;20931
11127310;1016PREPA;2093;1;P41;Actif;20931
11127375;1016PREPA;2093;1;P41;Actif;20931
11127377;1016PREPA;2093;1;P41;Actif;20931
11127499;1016PREPA;2093;1;P41;Actif;20931
11127577;1016PREPA;2093;1;P41;Actif;20931
11127595;1016PREPA;2093;1;P41;Actif;20931
11127608;1016PREPA;2093;1;P41;Actif;20931
11127624;1016PREPA;2093;1;P41;Actif;20931
11127627;1016PREPA;2093;1;P41;Actif;20931
11127686;1016PREPA;2093;1;P41;Actif;20931
11127728;1016PREPA;2093;1;P41;Actif;20931
11127730;1016PREPA;2093;1;P41;Actif;20931
11121773;1016PREPA;2093;1;P42;Actif;20931
11124161;1016PREPA;2093;1;P42;Actif;20931
11125789;1016PREPA;2093;1;P42;Actif;20931
11125798;1016PREPA;2093;1;P42;Actif;20931
11125799;1016PREPA;2093;1;P42;Actif;20931
11125835;1016PREPA;2093;1;P42;Actif;20931
11125991;1016PREPA;2093;1;P42;Actif;20931
11126129;1016PREPA;2093;1;P42;Actif;20931
11126152;1016PREPA;2093;1;P42;Actif;20931
11126179;1016PREPA;2093;1;P42;Actif;20931
11126248;1016PREPA;2093;1;P42;Actif;20931
11126372;1016PREPA;2093;1;P42;Actif;20931
11126633;1016PREPA;2093;1;P42;Actif;20931
11126798;1016PREPA;2093;1;P42;Actif;20931
11126913;1016PREPA;2093;1;P42;Actif;20931
11126990;1016PREPA;2093;1;P42;Actif;20931
11126993;1016PREPA;2093;1;P42;Actif;20931
11127005;1016PREPA;2093;1;P42;Actif;20931
11127008;1016PREPA;2093;1;P42;Actif;20931
11127009;1016PREPA;2093;1;P42;Actif;20931
11127012;1016PREPA;2093;1;P42;Actif;20931
11127166;1016PREPA;2093;1;P42;Actif;20931
11127167;1016PREPA;2093;1;P42;Actif;20931
11127227;1016PREPA;2093;1;P42;Actif;20931
11127460;1016PREPA;2093;1;P42;Actif;20931
11127546;1016PREPA;2093;1;P42;Actif;20931
11127557;1016PREPA;2093;1;P42;Actif;20931
11127578;1016PREPA;2093;1;P42;Actif;20931
11127582;1016PREPA;2093;1;P42;Actif;20931
11127732;1016PREPA;2093;1;P42;Actif;20931
11127758;1016PREPA;2093;1;P42;Actif;20931
11127789;1016PREPA;2093;1;P42;Actif;20931
11127819;1016PREPA;2093;1;P42;Actif;20931
11127900;1016PREPA;2093;1;P42;Actif;20931
11128007;1016PREPA;2093;1;P42;Actif;20931
11128015;1016PREPA;2093;1;P42;Actif;20931
11128038;1016PREPA;2093;1;P42;Actif;20931
11128042;1016PREPA;2093;1;P42;Actif;20931
11128148;1016PREPA;2093;1;P42;Actif;20931
11128378;1016PREPA;2093;1;P42;Actif;20931
11128450;1016PREPA;2093;1;P42;Actif;20931
11128451;1016PREPA;2093;1;P42;Actif;20931
11128540;1016PREPA;2093;1;P42;Actif;20931
11128603;1016PREPA;2093;1;P42;Actif;20931
11128613;1016PREPA;2093;1;P42;Actif;20931
11128641;1016PREPA;2093;1;P42;Actif;20931
11128645;1016PREPA;2093;1;P42;Actif;20931
11128723;1016PREPA;2093;1;P42;Actif;20931
11129008;1016PREPA;2093;1;P42;Actif;20931
11129155;1016PREPA;2093;1;P42;Actif;20931
11129210;1016PREPA;2093;1;P42;Actif;20931
11129069;161109;2093;1;A01;Actif;20931
11129272;161109;2093;1;A01;Actif;20931
11118029;161109;2093;1;A01;Actif;20931
11117242;161109;2093;1;A01;Actif;20931
11072015;161109;2093;1;A01;Actif;20931
11132702;161109;2093;1;A01;Actif;20931
11128656;161109;2093;1;A01;Actif;20931
11116326;161109;2093;1;A01;Actif;20931
11128979;161109;2093;1;A01;Actif;20931
11129052;161109;2093;1;A01;Actif;20931
11129209;161109;2093;1;A01;Actif;20931
