EMPLID;ROLE;DEPTID;EMPL_STATUS;JOBCODE
11051661;Agent aux activités;115;L;BU0045
11053358;Secrétaire à la direction;208;A;BU0040
11054818;Agent aux activités;181;A;BU0045
11063015;Agent aux activités;127;A;BU0045
11064158;Secrétaire administrative;100;A;BU0053
11064452;Agent aux activités;120;A;BU0045
11067646;Secrétaire aux activités prof;103;A;BU0046
11070666;Secrétaire aux activités prof;109;A;BU0046
11078968;Agent aux activités;120;A;BU0045
11084392;Agent aux activités;115;A;BU0045
11089695;Agent aux activités;208;A;BU0045
11090857;Secrétaire aux activités prof;105;A;BU0046
11094117;Secrétaire à la direction;163;A;BU0050
11096754;Agent aux activités;208;A;BU0045
11100270;Agent aux activités;125;A;BU0072
11103665;Agent aux activités;125;P;BU0045
11107249;Agent aux activités;115;P;BU0045
11109918;Agent aux activités;115;P;BU0045
11113407;Secrétaire aux activités;105;A;TBU034
11113407;Secrétaire aux activités;154;A;TBU034
11113407;Secrétaire aux activités;165;A;TBU034
11113407;Secrétaire aux activités;171;A;TBU034
11113407;Secrétaire aux activités;193;A;TBU034
11113407;Secrétaire aux activités;212;A;TBU034
11113407;Secrétaire aux activités prof;101;A;BU0046
11114483;Secrétaire aux activités prof;105;A;BU0046
11119335;Secrétaire aux activités prof;186;A;BU0046
11119449;Agent aux activités;115;A;BU0045
11123285;Secrétaire à la direction;152;A;BU0050
11124252;Agent aux activités;115;A;BU0045
11125044;Secrétaire à la direction;152;A;BU0050
11125077;Agent aux activités;115;A;BU0045
11127106;Secrétaire aux activités;108;A;TBU034
11127106;Secrétaire aux activités;172;A;TBU034
11127106;Secrétaire aux activités;183;A;TBU034
11127106;Secrétaire aux activités;189;A;TBU034
11128560;Secrétaire aux activités;215;A;BU0044
11128561;Secrétaire aux activités;163;P;BU0034
11132027;Agent aux activités;133;A;BU0045
11132915;Agent aux activités;120;A;BU0045
11133624;Secrétaire aux activités prof;101;A;BU0046
awa;Secrétaire aux activités prof;101;A;BU0046
awa;Secrétaire aux activités prof;107;A;BU0046
11133719;Secrétaire de comité;128;A;BU0078
11134463;Secrétaire à la direction;157;A;BU0050
11135329;Agent aux activités;110;A;TBU036
11135329;Agent aux activités;211;A;TBU036
11135462;Agent aux activités;153;A;TBU037
11137029;Secrétaire à la direction;105;A;BU0040
11137668;Secrétaire;Z16;A;TBU018
11137824;Agent aux activités;125;A;BU0045
11137876;Secrétaire à la direction;211;A;BU0050
11141907;Secrétaire aux activités;154;A;BU0034
11141907;Secrétaire aux activités;165;A;BU0034
11141907;Secrétaire aux activités;171;A;BU0034
11141907;Secrétaire aux activités;186;A;BU0034
11141907;Secrétaire aux activités;193;A;BU0034
11141907;Secrétaire aux activités;210;A;BU0034
11141907;Secrétaire aux activités;212;A;BU0034
84333088;Secrétaire aux activités;127;A;BU0034
87128229;Secrétaire - éditique Web;120;A;BU0082
87129988;Secrétaire à la direction;141;A;BU0050
87202382;Agent aux activités;133;A;BU0045
87348374;Secrétaire aux activités prof;107;A;BU0046
89316989;Secrétaire aux activités;132;A;BU0034
90112044;Secrétaire administrative;188;P;BU0051
99124224;Secrétaire à la direction;127;A;BU0050
